,K,NDTR,hit_rate
0,5,150,0.4957142857142857
1,5,200,0.4942857142857143
2,5,250,0.49142857142857144
3,5,300,0.49857142857142855
4,5,350,0.5
5,5,400,0.49142857142857144
6,5,450,0.48857142857142855
7,5,500,0.4928571428571429
8,5,550,0.4942857142857143
9,5,600,0.49
10,5,650,0.4957142857142857
11,5,700,0.49
12,5,750,0.4957142857142857
13,5,800,0.4942857142857143
14,5,850,0.49142857142857144
15,5,900,0.4857142857142857
16,5,950,0.51
17,5,1000,0.5014285714285714
18,5,1050,0.4928571428571429
19,5,1100,0.49142857142857144
20,5,1150,0.49714285714285716
21,5,1200,0.49714285714285716
22,5,1250,0.4942857142857143
23,5,1300,0.5028571428571429
24,5,1350,0.4942857142857143
25,5,1400,0.5
26,5,1450,0.49714285714285716
27,5,1500,0.5114285714285715
28,5,1550,0.4928571428571429
29,5,1600,0.49857142857142855
30,5,1650,0.48714285714285716
31,5,1700,0.48142857142857143
32,5,1750,0.5171428571428571
33,5,1800,0.5157142857142857
34,5,1850,0.52
35,5,1900,0.52
36,5,1950,0.5142857142857142
37,5,2000,0.4857142857142857
38,5,2050,0.4942857142857143
39,5,2100,0.49
40,5,2150,0.49857142857142855
41,5,2200,0.5085714285714286
42,5,2250,0.5057142857142857
43,5,2300,0.5042857142857143
44,5,2350,0.5185714285714286
45,5,2400,0.5185714285714286
46,5,2450,0.5171428571428571
47,5,2500,0.5171428571428571
48,5,2550,0.51
49,5,2600,0.5071428571428571
50,5,2650,0.5014285714285714
51,5,2700,0.4957142857142857
52,5,2750,0.4928571428571429
53,5,2800,0.4928571428571429
54,5,2850,0.48857142857142855
55,5,2900,0.48
56,5,2950,0.4828571428571429
57,5,3000,0.48857142857142855
58,5,3050,0.48428571428571426
59,5,3100,0.48714285714285716
60,5,3150,0.48857142857142855
61,5,3200,0.48857142857142855
62,5,3250,0.49714285714285716
63,5,3300,0.49857142857142855
64,5,3350,0.5
65,5,3400,0.4942857142857143
66,5,3450,0.49714285714285716
67,5,3500,0.5
68,5,3550,0.5028571428571429
69,5,3600,0.5128571428571429
70,5,3650,0.5057142857142857
71,5,3700,0.5128571428571429
72,5,3750,0.5157142857142857
73,5,3800,0.5157142857142857
74,5,3850,0.5185714285714286
75,5,3900,0.5285714285714286
76,5,3950,0.5342857142857143
77,10,150,0.49714285714285716
78,10,200,0.49
79,10,250,0.49
80,10,300,0.49857142857142855
81,10,350,0.49714285714285716
82,10,400,0.49142857142857144
83,10,450,0.4928571428571429
84,10,500,0.49
85,10,550,0.4942857142857143
86,10,600,0.49
87,10,650,0.49714285714285716
88,10,700,0.48857142857142855
89,10,750,0.4957142857142857
90,10,800,0.4957142857142857
91,10,850,0.48857142857142855
92,10,900,0.4857142857142857
93,10,950,0.49142857142857144
94,10,1000,0.5
95,10,1050,0.4942857142857143
96,10,1100,0.4942857142857143
97,10,1150,0.4957142857142857
98,10,1200,0.49857142857142855
99,10,1250,0.4942857142857143
100,10,1300,0.5042857142857143
101,10,1350,0.4928571428571429
102,10,1400,0.5014285714285714
103,10,1450,0.4957142857142857
104,10,1500,0.48714285714285716
105,10,1550,0.4942857142857143
106,10,1600,0.5
107,10,1650,0.5142857142857142
108,10,1700,0.52
109,10,1750,0.5185714285714286
110,10,1800,0.5171428571428571
111,10,1850,0.4785714285714286
112,10,1900,0.47714285714285715
113,10,1950,0.4857142857142857
114,10,2000,0.4857142857142857
115,10,2050,0.4942857142857143
116,10,2100,0.49
117,10,2150,0.5028571428571429
118,10,2200,0.48714285714285716
119,10,2250,0.51
120,10,2300,0.5071428571428571
121,10,2350,0.5157142857142857
122,10,2400,0.5257142857142857
123,10,2450,0.49714285714285716
124,10,2500,0.5014285714285714
125,10,2550,0.48142857142857143
126,10,2600,0.47285714285714286
127,10,2650,0.49
128,10,2700,0.48
129,10,2750,0.48142857142857143
130,10,2800,0.47714285714285715
131,10,2850,0.4857142857142857
132,10,2900,0.4857142857142857
133,10,2950,0.4714285714285714
134,10,3000,0.4657142857142857
135,10,3050,0.48
136,10,3100,0.48857142857142855
137,10,3150,0.48857142857142855
138,10,3200,0.48142857142857143
139,10,3250,0.4942857142857143
140,10,3300,0.4928571428571429
141,10,3350,0.4785714285714286
142,10,3400,0.49142857142857144
143,10,3450,0.4942857142857143
144,10,3500,0.49714285714285716
145,10,3550,0.5057142857142857
146,10,3600,0.51
147,10,3650,0.5057142857142857
148,10,3700,0.5085714285714286
149,10,3750,0.5171428571428571
150,10,3800,0.5157142857142857
151,10,3850,0.52
152,10,3900,0.5285714285714286
153,10,3950,0.5357142857142857
154,15,150,0.5042857142857143
155,15,200,0.49142857142857144
156,15,250,0.4928571428571429
157,15,300,0.5014285714285714
158,15,350,0.4957142857142857
159,15,400,0.49142857142857144
160,15,450,0.4928571428571429
161,15,500,0.48857142857142855
162,15,550,0.4928571428571429
163,15,600,0.49
164,15,650,0.49714285714285716
165,15,700,0.49142857142857144
166,15,750,0.4942857142857143
167,15,800,0.4957142857142857
168,15,850,0.48857142857142855
169,15,900,0.48428571428571426
170,15,950,0.49142857142857144
171,15,1000,0.49714285714285716
172,15,1050,0.4957142857142857
173,15,1100,0.4928571428571429
174,15,1150,0.49714285714285716
175,15,1200,0.5014285714285714
176,15,1250,0.49714285714285716
177,15,1300,0.5071428571428571
178,15,1350,0.4957142857142857
179,15,1400,0.49714285714285716
180,15,1450,0.4957142857142857
181,15,1500,0.5542857142857143
182,15,1550,0.4957142857142857
183,15,1600,0.49857142857142855
184,15,1650,0.4857142857142857
185,15,1700,0.48
186,15,1750,0.5157142857142857
187,15,1800,0.5157142857142857
188,15,1850,0.5185714285714286
189,15,1900,0.5257142857142857
190,15,1950,0.5157142857142857
191,15,2000,0.5171428571428571
192,15,2050,0.5114285714285715
193,15,2100,0.51
194,15,2150,0.5042857142857143
195,15,2200,0.4957142857142857
196,15,2250,0.49142857142857144
197,15,2300,0.49
198,15,2350,0.48428571428571426
199,15,2400,0.48428571428571426
200,15,2450,0.48428571428571426
201,15,2500,0.48428571428571426
202,15,2550,0.49142857142857144
203,15,2600,0.49142857142857144
204,15,2650,0.49857142857142855
205,15,2700,0.5042857142857143
206,15,2750,0.5
207,15,2800,0.5
208,15,2850,0.51
209,15,2900,0.5114285714285715
210,15,2950,0.5157142857142857
211,15,3000,0.5085714285714286
212,15,3050,0.51
213,15,3100,0.5114285714285715
214,15,3150,0.5114285714285715
215,15,3200,0.5085714285714286
216,15,3250,0.5014285714285714
217,15,3300,0.5
218,15,3350,0.5014285714285714
219,15,3400,0.5042857142857143
220,15,3450,0.5057142857142857
221,15,3500,0.49142857142857144
222,15,3550,0.5028571428571429
223,15,3600,0.5228571428571429
224,15,3650,0.5971428571428572
225,15,3700,0.5142857142857142
226,15,3750,0.5242857142857142
227,15,3800,0.5457142857142857
228,15,3850,0.5157142857142857
229,15,3900,0.5042857142857143
230,15,3950,0.5357142857142857
231,20,150,0.5042857142857143
232,20,200,0.5071428571428571
233,20,250,0.49
234,20,300,0.5042857142857143
235,20,350,0.4957142857142857
236,20,400,0.5085714285714286
237,20,450,0.5042857142857143
238,20,500,0.5114285714285715
239,20,550,0.5071428571428571
240,20,600,0.5085714285714286
241,20,650,0.5028571428571429
242,20,700,0.49
243,20,750,0.4928571428571429
244,20,800,0.4942857142857143
245,20,850,0.48857142857142855
246,20,900,0.48428571428571426
247,20,950,0.4928571428571429
248,20,1000,0.4942857142857143
249,20,1050,0.49857142857142855
250,20,1100,0.4928571428571429
251,20,1150,0.49714285714285716
252,20,1200,0.5
253,20,1250,0.49714285714285716
254,20,1300,0.5057142857142857
255,20,1350,0.4942857142857143
256,20,1400,0.49714285714285716
257,20,1450,0.49857142857142855
258,20,1500,0.4857142857142857
259,20,1550,0.49714285714285716
260,20,1600,0.49857142857142855
261,20,1650,0.48714285714285716
262,20,1700,0.48714285714285716
263,20,1750,0.5157142857142857
264,20,1800,0.5142857142857142
265,20,1850,0.5257142857142857
266,20,1900,0.5271428571428571
267,20,1950,0.5142857142857142
268,20,2000,0.5142857142857142
269,20,2050,0.51
270,20,2100,0.5071428571428571
271,20,2150,0.5014285714285714
272,20,2200,0.4957142857142857
273,20,2250,0.4957142857142857
274,20,2300,0.48857142857142855
275,20,2350,0.4828571428571429
276,20,2400,0.4857142857142857
277,20,2450,0.4857142857142857
278,20,2500,0.48857142857142855
279,20,2550,0.49
280,20,2600,0.49
281,20,2650,0.5014285714285714
282,20,2700,0.5042857142857143
283,20,2750,0.49857142857142855
284,20,2800,0.5014285714285714
285,20,2850,0.5142857142857142
286,20,2900,0.5114285714285715
287,20,2950,0.5128571428571429
288,20,3000,0.51
289,20,3050,0.5114285714285715
290,20,3100,0.5142857142857142
291,20,3150,0.5142857142857142
292,20,3200,0.5028571428571429
293,20,3250,0.5014285714285714
294,20,3300,0.5028571428571429
295,20,3350,0.5014285714285714
296,20,3400,0.5057142857142857
297,20,3450,0.5057142857142857
298,20,3500,0.5042857142857143
299,20,3550,0.4942857142857143
300,20,3600,0.49
301,20,3650,0.4942857142857143
302,20,3700,0.49142857142857144
303,20,3750,0.48714285714285716
304,20,3800,0.48
305,20,3850,0.47
306,20,3900,0.4742857142857143
307,20,3950,0.4685714285714286
308,25,150,0.5028571428571429
309,25,200,0.5085714285714286
310,25,250,0.49
311,25,300,0.4742857142857143
312,25,350,0.4928571428571429
313,25,400,0.4928571428571429
314,25,450,0.49142857142857144
315,25,500,0.48857142857142855
316,25,550,0.4942857142857143
317,25,600,0.5042857142857143
318,25,650,0.5028571428571429
319,25,700,0.4928571428571429
320,25,750,0.49714285714285716
321,25,800,0.49
322,25,850,0.48714285714285716
323,25,900,0.4785714285714286
324,25,950,0.4942857142857143
325,25,1000,0.49142857142857144
326,25,1050,0.49714285714285716
327,25,1100,0.49142857142857144
328,25,1150,0.5014285714285714
329,25,1200,0.5
330,25,1250,0.5057142857142857
331,25,1300,0.49857142857142855
332,25,1350,0.5057142857142857
333,25,1400,0.5028571428571429
334,25,1450,0.4785714285714286
335,25,1500,0.5128571428571429
336,25,1550,0.49714285714285716
337,25,1600,0.4957142857142857
338,25,1650,0.5142857142857142
339,25,1700,0.5128571428571429
340,25,1750,0.5142857142857142
341,25,1800,0.5157142857142857
342,25,1850,0.52
343,25,1900,0.5285714285714286
344,25,1950,0.48714285714285716
345,25,2000,0.5142857142857142
346,25,2050,0.5071428571428571
347,25,2100,0.5114285714285715
348,25,2150,0.5028571428571429
349,25,2200,0.49714285714285716
350,25,2250,0.49714285714285716
351,25,2300,0.48428571428571426
352,25,2350,0.48428571428571426
353,25,2400,0.4828571428571429
354,25,2450,0.4828571428571429
355,25,2500,0.48857142857142855
356,25,2550,0.4942857142857143
357,25,2600,0.48857142857142855
358,25,2650,0.49857142857142855
359,25,2700,0.5028571428571429
360,25,2750,0.5014285714285714
361,25,2800,0.5
362,25,2850,0.5128571428571429
363,25,2900,0.51
364,25,2950,0.51
365,25,3000,0.5128571428571429
366,25,3050,0.5085714285714286
367,25,3100,0.5128571428571429
368,25,3150,0.5171428571428571
369,25,3200,0.5014285714285714
370,25,3250,0.5014285714285714
371,25,3300,0.5014285714285714
372,25,3350,0.5028571428571429
373,25,3400,0.5057142857142857
374,25,3450,0.5057142857142857
375,25,3500,0.5028571428571429
376,25,3550,0.4942857142857143
377,25,3600,0.49
378,25,3650,0.4942857142857143
379,25,3700,0.48714285714285716
380,25,3750,0.48857142857142855
381,25,3800,0.48
382,25,3850,0.4685714285714286
383,25,3900,0.4714285714285714
384,25,3950,0.4642857142857143
385,30,150,0.5
386,30,200,0.5071428571428571
387,30,250,0.48857142857142855
388,30,300,0.5057142857142857
389,30,350,0.48857142857142855
390,30,400,0.49142857142857144
391,30,450,0.49
392,30,500,0.49
393,30,550,0.4928571428571429
394,30,600,0.4957142857142857
395,30,650,0.4942857142857143
396,30,700,0.49142857142857144
397,30,750,0.49714285714285716
398,30,800,0.48714285714285716
399,30,850,0.48428571428571426
400,30,900,0.4857142857142857
401,30,950,0.49857142857142855
402,30,1000,0.49142857142857144
403,30,1050,0.4957142857142857
404,30,1100,0.49142857142857144
405,30,1150,0.5
406,30,1200,0.5014285714285714
407,30,1250,0.49714285714285716
408,30,1300,0.5014285714285714
409,30,1350,0.4942857142857143
410,30,1400,0.5
411,30,1450,0.5028571428571429
412,30,1500,0.5114285714285715
413,30,1550,0.49857142857142855
414,30,1600,0.4957142857142857
415,30,1650,0.5171428571428571
416,30,1700,0.5185714285714286
417,30,1750,0.5128571428571429
418,30,1800,0.5142857142857142
419,30,1850,0.5228571428571429
420,30,1900,0.5257142857142857
421,30,1950,0.4857142857142857
422,30,2000,0.48142857142857143
423,30,2050,0.4942857142857143
424,30,2100,0.49
425,30,2150,0.5014285714285714
426,30,2200,0.5057142857142857
427,30,2250,0.5042857142857143
428,30,2300,0.5157142857142857
429,30,2350,0.5185714285714286
430,30,2400,0.5185714285714286
431,30,2450,0.5157142857142857
432,30,2500,0.52
433,30,2550,0.6042857142857143
434,30,2600,0.5171428571428571
435,30,2650,0.49857142857142855
436,30,2700,0.5014285714285714
437,30,2750,0.5028571428571429
438,30,2800,0.5028571428571429
439,30,2850,0.5171428571428571
440,30,2900,0.5114285714285715
441,30,2950,0.5085714285714286
442,30,3000,0.5114285714285715
443,30,3050,0.5114285714285715
444,30,3100,0.5128571428571429
445,30,3150,0.5142857142857142
446,30,3200,0.5028571428571429
447,30,3250,0.5028571428571429
448,30,3300,0.5028571428571429
449,30,3350,0.5042857142857143
450,30,3400,0.5028571428571429
451,30,3450,0.5071428571428571
452,30,3500,0.5028571428571429
453,30,3550,0.4928571428571429
454,30,3600,0.49142857142857144
455,30,3650,0.4928571428571429
456,30,3700,0.49
457,30,3750,0.4857142857142857
458,30,3800,0.47714285714285715
459,30,3850,0.4714285714285714
