,K,NDTR,ret
210,15,2950,0.0
211,15,3000,0.0
212,15,3050,0.0
213,15,3100,0.0
214,15,3150,0.0
215,15,3200,0.0
216,15,3250,0.0
217,15,3300,0.0
218,15,3350,0.0
219,15,3400,0.0
220,15,3450,0.0
221,15,3500,2.8381164395202693e-05
222,15,3550,4.029307175158049e-05
223,15,3600,0.000352545336050823
224,15,3650,0.00023713628976071625
225,15,3700,0.00039247814337551456
226,15,3750,0.0006029702234477289
227,15,3800,0.00041394506940191215
228,15,3850,0.0005999731086143152
229,15,3900,0.0007257743633440431
230,15,3950,0.00014347639487575597
231,20,150,0.0
232,20,200,0.0
233,20,250,-2.0666056700371305e-05
234,20,300,6.088576151057943e-06
235,20,350,1.0181250909681959e-05
236,20,400,0.0
237,20,450,0.0
238,20,500,0.0
239,20,550,0.0
240,20,600,0.0
241,20,650,0.0
242,20,700,-2.7858543739000676e-06
243,20,750,5.516337194342964e-06
244,20,800,1.4303409564418445e-05
245,20,850,4.791064037189863e-06
246,20,900,-2.69059134090522e-05
247,20,950,-1.6582757891225555e-05
248,20,1000,-2.3308091248136967e-05
249,20,1050,-1.8920365206195545e-05
250,20,1100,-2.845144822376997e-05
251,20,1150,-1.940283814706627e-05
252,20,1200,-3.173452559249031e-05
253,20,1250,-3.5355054868644e-05
254,20,1300,5.871958378098534e-07
255,20,1350,-1.514585022105537e-05
256,20,1400,-1.515096362874414e-05
257,20,1450,-5.611296374381023e-06
258,20,1500,-1.2904788825436639e-05
259,20,1550,-8.566020440781922e-07
260,20,1600,9.31180552834425e-06
261,20,1650,2.996279701000989e-06
262,20,1700,8.87648466729274e-06
263,20,1750,0.0
264,20,1800,0.0
265,20,1850,0.00022794133720705447
266,20,1900,0.0
267,20,1950,0.0
268,20,2000,0.0
269,20,2050,0.0
270,20,2100,0.0
271,20,2150,0.0
272,20,2200,0.0
273,20,2250,0.0
274,20,2300,0.0
275,20,2350,0.0
276,20,2400,0.0
277,20,2450,0.0
278,20,2500,0.0
279,20,2550,0.0
280,20,2600,0.0
281,20,2650,0.0
282,20,2700,0.0
283,20,2750,0.0
284,20,2800,0.0
285,20,2850,0.0
286,20,2900,0.0
287,20,2950,0.0
288,20,3000,0.0
289,20,3050,0.0
290,20,3100,0.0
291,20,3150,0.0
292,20,3200,0.0
293,20,3250,0.0
294,20,3300,0.0
295,20,3350,0.0
296,20,3400,0.0
297,20,3450,0.0
298,20,3500,0.0
299,20,3550,0.0
300,20,3600,0.0
301,20,3650,0.0
302,20,3700,0.0
303,20,3750,0.0
304,20,3800,0.0
305,20,3850,0.0021401650359315345
306,20,3900,0.0021401650359315345
307,20,3950,0.0004974476147548873
308,25,150,0.0
309,25,200,0.0
310,25,250,-1.5708688903244383e-05
311,25,300,-0.0001562259850924141
312,25,350,9.58746468315905e-06
313,25,400,-8.630359895026726e-06
314,25,450,2.034772043852761e-06
315,25,500,1.3243443389449744e-05
316,25,550,2.1907868227589005e-05
317,25,600,0.0
318,25,650,0.0
319,25,700,-1.0163419072367396e-06
320,25,750,1.9476383142604386e-05
321,25,800,3.7639741226700207e-06
322,25,850,1.4776936520005172e-06
323,25,900,-3.934010096206799e-05
324,25,950,-1.9095353378259593e-05
325,25,1000,-2.580377689316425e-05
326,25,1050,-2.3681336754456e-05
327,25,1100,-2.448229310410155e-05
328,25,1150,0.0
329,25,1200,0.0
330,25,1250,0.0
331,25,1300,0.0
332,25,1350,0.0
333,25,1400,0.0
334,25,1450,-2.4056719440794623e-05
335,25,1500,0.0
336,25,1550,-3.0278468285897684e-06
337,25,1600,7.620705281907547e-06
338,25,1650,0.0
339,25,1700,0.0
340,25,1750,0.0
341,25,1800,0.0
342,25,1850,0.0
343,25,1900,0.0
344,25,1950,-3.252895167459147e-06
345,25,2000,0.0
346,25,2050,0.0
347,25,2100,0.0
348,25,2150,0.0
349,25,2200,0.0
350,25,2250,0.0
351,25,2300,0.0
352,25,2350,0.0
353,25,2400,0.0
354,25,2450,0.0
355,25,2500,0.0
356,25,2550,0.0
357,25,2600,0.0
358,25,2650,0.0
359,25,2700,0.0
360,25,2750,0.0
361,25,2800,0.0
362,25,2850,0.0
363,25,2900,0.0
364,25,2950,0.0
365,25,3000,0.0
366,25,3050,0.0
367,25,3100,0.0
368,25,3150,0.0
369,25,3200,0.0
370,25,3250,0.0
371,25,3300,0.0
372,25,3350,0.0
373,25,3400,0.0
374,25,3450,0.0
375,25,3500,0.0
376,25,3550,0.0
377,25,3600,0.0
378,25,3650,0.0
379,25,3700,0.0
380,25,3750,0.0
381,25,3800,0.0
382,25,3850,0.0
383,25,3900,0.0
384,25,3950,0.0
385,30,150,0.0
386,30,200,0.0
387,30,250,-1.915458531132691e-05
388,30,300,9.180993863019266e-06
389,30,350,-5.8322348630743345e-06
390,30,400,-6.893649873466125e-06
391,30,450,-4.544407886770004e-06
392,30,500,1.2731258786354637e-05
393,30,550,1.958544510138043e-05
394,30,600,1.0018510454965851e-05
395,30,650,3.6629205195821968e-06
396,30,700,-6.876386539889707e-06
397,30,750,2.7089598860925284e-06
398,30,800,-6.8194729651750425e-06
399,30,850,-9.149854492310966e-06
400,30,900,-2.1397007170356758e-05
401,30,950,-1.2232414635145822e-05
402,30,1000,-2.725290983530645e-05
403,30,1050,-2.266585016925397e-05
404,30,1100,-2.195593076608002e-05
405,30,1150,-1.5711484823249068e-05
406,30,1200,-3.3596317974507606e-05
407,30,1250,-3.887286938130448e-05
408,30,1300,-1.5986830463090916e-05
409,30,1350,-2.3432182355097977e-05
410,30,1400,-9.863112139868296e-06
411,30,1450,0.0
412,30,1500,0.0
413,30,1550,-6.3629946426464155e-06
414,30,1600,9.609372273761353e-06
415,30,1650,0.0
416,30,1700,0.0
417,30,1750,0.0
418,30,1800,0.0
419,30,1850,0.0
420,30,1900,0.0
421,30,1950,-1.0831653344339033e-06
422,30,2000,3.3112835360052977e-06
423,30,2050,5.931212802673842e-06
424,30,2100,-3.572626402436482e-06
425,30,2150,1.7135560807417424e-06
426,30,2200,5.8608066226683805e-06
427,30,2250,-3.7206032317829273e-06
428,30,2300,2.6763255476288893e-07
429,30,2350,8.143586837930136e-06
430,30,2400,3.3848464640337824e-06
431,30,2450,-3.8135689964676333e-06
432,30,2500,1.886492975522533e-06
433,30,2550,0.00010964857894068575
434,30,2600,-5.3240541964872115e-06
435,30,2650,0.0
436,30,2700,0.0
437,30,2750,0.0
438,30,2800,0.0
439,30,2850,0.0
440,30,2900,0.0
441,30,2950,0.0
442,30,3000,0.0
443,30,3050,0.0
444,30,3100,0.0
445,30,3150,0.0
446,30,3200,0.0
447,30,3250,0.0
448,30,3300,0.0
449,30,3350,0.0
450,30,3400,0.0
451,30,3450,0.0
452,30,3500,0.0
453,30,3550,0.0
454,30,3600,0.0
455,30,3650,0.0
456,30,3700,0.0
457,30,3750,0.0
458,30,3800,0.0
459,30,3850,0.0
460,30,3900,0.0
461,30,3950,0.0
462,35,150,0.0
463,35,200,-1.5770965626452462e-05
464,35,250,-1.3945473718664362e-05
465,35,300,9.067990317065469e-06
466,35,350,-3.1554903320986617e-06
467,35,400,-1.259177608424041e-05
468,35,450,0.0007397563536079443
469,35,500,1.1069819687432457e-05
470,35,550,9.87652929422738e-06
471,35,600,3.6884082262748818e-06
472,35,650,-1.6299161539222773e-06
473,35,700,-2.5172700755168705e-06
474,35,750,1.4775256439461115e-05
475,35,800,1.4938954465109652e-05
476,35,850,-7.807638305978384e-06
477,35,900,0.0
478,35,950,-1.6470178210556307e-05
479,35,1000,-2.383111773442706e-05
480,35,1050,-2.1860568558440126e-05
481,35,1100,-0.000173295252075664
482,35,1150,-1.4532679997649022e-05
483,35,1200,-3.227240503782763e-05
484,35,1250,-3.4950619490310215e-05
485,35,1300,-1.172167137342843e-05
486,35,1350,-1.9397214181880372e-05
487,35,1400,-1.3766353615585305e-05
488,35,1450,0.0
489,35,1500,0.0
490,35,1550,-3.0011890067695026e-06
491,35,1600,7.79806755620158e-06
492,35,1650,0.0
493,35,1700,0.0
494,35,1750,0.0
495,35,1800,0.0
496,35,1850,0.0
497,35,1900,0.0
498,35,1950,0.0
499,35,2000,5.882690402399039e-06
500,35,2050,7.302228135891469e-06
501,35,2100,-0.000462420612438757
502,35,2150,7.621847607587363e-06
503,35,2200,-1.8119206142091602e-06
504,35,2250,-6.0937240493405726e-06
505,35,2300,8.326346188905759e-07
506,35,2350,4.11661009550299e-06
507,35,2400,1.3528125919998365e-06
508,35,2450,-5.7574330125032104e-06
509,35,2500,-4.107117081081431e-05
510,35,2550,-0.0001187933566484856
511,35,2600,-7.094375312124851e-05
512,35,2650,-2.4398180029256686e-05
513,35,2700,-5.291881238610788e-05
514,35,2750,-4.336079807652637e-05
515,35,2800,-4.139150265690538e-05
516,35,2850,-3.323208576069404e-05
517,35,2900,-2.009678248422686e-05
518,35,2950,-8.445942215945066e-06
519,35,3000,-3.2335798483805606e-05
520,35,3050,-1.706662162621519e-05
521,35,3100,-1.2031344919735503e-05
522,35,3150,-1.2038819529004279e-05
523,35,3200,1.9180248561419053e-05
524,35,3250,2.0022037341405486e-05
525,35,3300,2.1386019174124817e-05
526,35,3350,3.237996339933605e-05
527,35,3400,4.338309423389826e-05
528,35,3450,3.217067645058684e-05
529,35,3500,4.1679472229610394e-05
530,35,3550,3.987408776529682e-05
531,35,3600,-0.0004380558167772923
532,35,3650,-0.0003502437634573753
533,35,3700,3.8007698736019996e-05
534,35,3750,5.365973309344375e-05
535,35,3800,9.893498265520025e-05
536,35,3850,9.588480102685137e-05
537,35,3900,0.0
538,35,3950,0.0
539,40,150,0.0
540,40,200,-1.690695404615614e-05
541,40,250,-1.2210979228714005e-05
542,40,300,3.7339476183874745e-06
543,40,350,-1.0268785436539773e-05
544,40,400,-3.950067962181047e-06
545,40,450,9.846685277038437e-06
546,40,500,1.3382428906283245e-05
547,40,550,4.342131554844203e-06
548,40,600,3.377240832865191e-06
549,40,650,-1.27618307520967e-06
550,40,700,-1.1583475092140694e-06
551,40,750,1.3040888851465353e-05
552,40,800,1.2045222100477603e-05
553,40,850,-9.597835900113377e-06
554,40,900,-2.124203631806945e-05
555,40,950,-1.544966798611893e-05
556,40,1000,-2.5051997738022238e-05
557,40,1050,-2.0210097605775866e-05
558,40,1100,0.0
559,40,1150,-1.7145794173266672e-05
560,40,1200,-3.6447641547420763e-05
561,40,1250,-2.771090391509839e-05
562,40,1300,-1.3300807509635457e-05
563,40,1350,-1.6307677211025614e-05
564,40,1400,-1.6399102747170906e-05
565,40,1450,3.711449626783169e-05
566,40,1500,0.0
567,40,1550,0.0
568,40,1600,0.0
569,40,1650,0.0
