,ret_first_second,pair
0,0.19741162835619105,LUNCUSDT
1,0.11497593748510992,KP3RUSDT
2,0.6150330116810566,EPXUSDT
3,1.0783956244302644,BNXUSDT
4,0.13450531479967298,OXTBUSD
5,2.381109886071297,CHESSUSDT
6,0.10850439882697946,TFUELBUSD
7,0.09561752988047806,REIUSDT
8,0.16261398176291797,MULTIBUSD
9,0.791867677463818,JASMYUSDT
10,0.34173055859802853,SCRTUSDT
11,0.09140328697850811,DUSKBUSD
12,-0.0005078720162518839,MBLBUSD
13,0.5640839971035482,PEOPLEBUSD
14,4.0,GMTUSDT
15,0.10000000000000009,USTBUSD
16,1.535211267605634,MOBUSDT
17,0.43321230651633863,POWRUSDT
18,0.4464802314368371,MCBUSD
19,0.2383389746553289,ANKRBUSD
20,0.1220595922634605,ALCXBUSD
21,0.5339857180640041,VGXUSDT
22,0.23251517550804965,PHBBUSD
23,0.17885004334007507,AUCTIONUSDT
24,0.28205128205128216,BTTCUSDT
25,0.3120683985531075,PYRBUSD
26,3.9991668055324108,BETAUSDT
27,3.4782087165133952,GLMRBUSD
28,1.2176831047563466,VIBBUSD
29,0.1367521367521366,AKROBUSD
30,0.24118257261410794,KEYBUSD
31,0.013657703798548786,ARKBUSD
32,0.2379110251450677,ANCBUSD
33,3.0712468193384224,SPELLBUSD
34,-0.0015267175572519097,STXBUSD
35,0.8926226342217073,PROSBUSD
36,0.4357501794687724,ASTRBUSD
37,0.6166419019316494,STGBUSD
38,0.34183673469387754,BTTCUSDC
39,-2.3773297831853615e-05,BNBUSDP
40,0.3139204545454547,BICOBUSD
41,4.000000000000001,DARBUSD
42,0.09451556819977885,ALPINEBUSD
43,0.19671190976868666,SCRTBUSD
44,0.20867124142233318,FRONTUSDT
45,0.05963855421686737,UMABUSD
46,0.06157112526539284,PUNDIXBUSD
47,4.0,LAZIOUSDT
48,0.015644047135310816,REQBUSD
49,0.0516955181408584,HIVEBUSD
50,-0.004773344148753586,COCOSBUSD
51,3.9996000399960003,APEBUSD
52,0.25785510257076083,CVXUSDT
53,0.12359550561797748,XNOBUSD
54,2.620689655172414,QIBUSD
55,4.0,SANTOSUSDT
56,0.06869873228933633,FXSUSDT
57,0.6188524590163935,HIGHUSDT
58,0.15486558121923508,OGBUSD
59,3.996668887408394,BETABUSD
60,3.0,GLMRUSDT
61,0.22792303897385294,GTOBUSD
62,0.38421733505821476,MOVRBUSD
63,0.21266968325791866,JOEUSDT
64,0.5208333333333334,OPUSDT
65,0.3928717738631709,PLABUSD
66,4.0,ALPINEUSDT
67,0.5458122540753233,CTXCBUSD
68,0.17588235294117646,BIFIUSDT
69,0.04934268702470075,STPTBUSD
70,1.3524590163934427,FLUXUSDT
71,4.0,LOKAUSDT
72,0.6290130796670632,STGUSDT
73,1.6296633303002728,BNXBUSD
74,1.6925746009715474,OPBUSD
75,0.011736139214892811,STEEMBUSD
76,0.2717253073336159,MDTBUSD
77,0.1940298507462688,JOEBUSD
78,0.013986013986014022,LOOMBUSD
79,3.9995002498750627,VOXELBUSD
80,0.2628957666310921,LDOBUSD
81,4.0,DARUSDT
82,0.19219346627068304,SPELLUSDT
83,0.4385150812064965,ACHBUSD
84,1.3632680621201891,RAREUSDT
85,1.0818181818181818,NEXOUSDT
86,0.7948243992606285,OOKIBUSD
87,0.39823925427239776,MOVRUSDT
88,0.0,ARPABUSD
89,0.37295081967213123,PLAUSDT
90,0.4722536806342016,AMBBUSD
91,0.20422169675298454,TROYBUSD
92,0.3275991024682122,ADXUSDT
93,0.4205292132836085,BICOUSDT
94,4.0,VOXELUSDT
95,0.3946717134954142,WOOBUSD
96,0.5421764327108822,KDABUSD
97,0.31868131868131866,REIBUSD
98,0.036755730367557325,AUDUSDC
99,0.6840326668544072,MOBBUSD
100,0.34641407307171856,AGLDBUSD
101,0.19738562091503267,ALCXUSDT
102,0.3315579227696405,ANYUSDT
103,3.9968769519050595,LOKABUSD
104,-0.025410775697363355,POWRBUSD
105,0.7251293847038527,QIUSDT
106,0.015193370165745715,GLMBUSD
107,1.403846153846154,ENSBUSD
108,0.15561118064246987,POLYXUSDT
109,1.4186851211072669,CITYBUSD
110,0.41985767536428337,AGLDUSDT
111,0.30071599045346054,API3USDT
112,0.27096774193548384,ANCUSDT
113,-0.044756179024716174,STEEMUSDT
114,0.41201094831750107,KDAUSDT
115,0.7318608731551245,RADBUSD
116,0.3876200976531738,SANTOSBUSD
117,0.260337798485731,WOOUSDT
118,0.8018018018018018,FLUXBUSD
119,0.050000000000000044,USTUSDT
120,0.972992475002577,RADUSDT
121,1.7485112230874944,ENSUSDT
122,0.3370349393227548,LAZIOBUSD
123,0.16608996539792387,NEBLUSDT
124,3.761904761904762,API3BUSD
125,0.09997555609875346,GMXUSDT
126,0.30919220055710317,RNDRBUSD
127,0.14864864864864874,MCUSDT
128,2.6616623947272062,CHESSBUSD
129,2.6703601108033244,CITYUSDT
