,ret_first_second,pair
0,0.14285714285714285,ENSBUSD
1,0.1940298507462688,JOEBUSD
2,0.49925037481259377,ACABUSD
3,-0.025410775697363355,POWRBUSD
4,0.7330210772833726,BURGERUSDT
5,0.5445284258954977,NULSBUSD
6,-0.06362153344208818,SOLUSDC
7,0.036755730367557325,AUDUSDC
8,3.9996000399960003,APEBUSD
9,0.3558692421991085,KEEPBUSD
10,0.1134278565471226,POLYXBUSD
11,0.25156445556946194,PONDUSDT
12,0.3876200976531738,SANTOSBUSD
13,0.07692307692307693,ACMUSDT
14,0.37295081967213123,PLAUSDT
15,4.000000000000001,DARBUSD
16,0.15561118064246987,POLYXUSDT
17,0.1995721271393643,HNTBUSD
18,0.16883116883116878,UTKBUSD
19,2.586800573888092,DODOUSDT
20,-0.16004923849291594,BNBUSDP
21,3.996668887408395,GALBUSD
22,0.8441064638783271,MIRUSDT
23,0.5177097759480945,IDEXUSDT
24,0.3946717134954142,WOOBUSD
25,1.5210084033613447,GTCUSDT
26,0.5075376884422109,AMPUSDT
27,0.1220595922634605,ALCXBUSD
28,1.016544117647059,REQUSDT
29,0.09023763648041112,LPTUSDT
30,4.0,SFPBUSD
31,0.6,TLMUSDT
32,0.7318608731551245,RADBUSD
33,2.7433829089992434,DEXEUSDT
34,1.8815368196371403,PERPBUSD
35,2.472714386959603,SHIBBUSD
36,2.381109886071297,CHESSUSDT
37,0.8018018018018018,FLUXBUSD
38,0.09997555609875346,GMXUSDT
39,4.0,LOKAUSDT
40,0.1942532175995211,FISUSDT
41,0.2377108558418711,OMGBUSD
42,0.8926226342217073,PROSBUSD
43,0.7346549752192149,TVKBUSD
44,0.18599999999999994,USDPUSDT
45,0.15486558121923508,OGBUSD
46,0.0,ZENBUSD
47,0.029433406916850653,BUSDUAH
48,4.0,LAZIOUSDT
49,0.17588235294117646,BIFIUSDT
50,0.24171708441371353,NUBUSD
51,0.4423540762180414,ILVBUSD
52,0.49875104079933386,CLVBUSD
53,0.4241325737959606,RAYUSDT
54,0.1937409259557993,PHAUSDT
55,0.8089053803339519,OOKIUSDT
56,0.34173055859802853,SCRTUSDT
57,0.226379677136779,ERNUSDT
58,0.47601476014760147,SUPERBUSD
59,0.07361963190184047,XEMBUSD
60,0.9531250000000002,LUNCBUSD
61,0.43546441495778043,ILVUSDT
62,4.0,TKOUSDT
63,0.34641407307171856,AGLDBUSD
64,0.5640839971035482,PEOPLEBUSD
65,0.19219346627068304,SPELLUSDT
66,0.23251517550804965,PHBBUSD
67,3.8774569279301145,ATABUSD
68,3.974134500596896,C98BUSD
69,0.40518084066471155,GMXBUSD
70,0.17712177121771217,SUPERUSDT
71,0.16455696202531644,BTGUSDT
72,0.10472325555179803,ORNBUSD
73,0.016508013013616155,MLNBUSD
74,0.015644047135310816,REQBUSD
75,0.19671190976868666,SCRTBUSD
76,0.4464802314368371,MCBUSD
77,0.06660456450861672,CELOBUSD
78,0.07700815705792889,POLYUSDT
79,0.2818901596078924,ERNBUSD
80,0.00019999999999997797,PAXBUSD
81,0.43091206990715464,FLOWUSDT
82,0.03492063492063482,SCBUSD
83,0.27873563218390807,ASTRUSDT
84,0.19738562091503267,ALCXUSDT
85,2.2967032967032965,UFTBUSD
86,4.0,SANTOSUSDT
87,0.46087743102668466,RGTBUSD
88,3.4782087165133952,GLMRBUSD
89,3.0712468193384224,SPELLBUSD
90,0.09890109890109886,CVCBUSD
91,0.5421764327108822,KDABUSD
92,0.3530655391120507,SNTBUSD
93,0.23966428349393842,POLSBUSD
94,0.5956808638272347,XECBUSD
95,1.6296633303002728,BNXBUSD
96,0.3999999999999999,ACAUSDT
97,1.7730616864742503,BSWUSDT
98,0.17728531855955673,LEVERUSDT
99,1.2091310751104567,ARBUSD
100,3.9968769519050595,LOKABUSD
101,0.279058911399496,VIDTUSDT
102,0.38421733505821476,MOVRBUSD
103,1.484725050916497,FARMBUSD
104,0.3275991024682122,ADXUSDT
105,0.011736139214892811,STEEMBUSD
106,0.050000000000000044,USTUSDT
107,1.8623988226637231,ARUSDT
108,0.7068843151171043,OMUSDT
109,1.0371825085100812,BARBUSD
110,1.031488065007618,MBOXUSDT
111,-0.013698630136986337,TUSDT
112,-0.3070058009817046,1INCHBUSD
113,0.14914425427872866,SYSUSDT
114,0.4385150812064965,ACHBUSD
115,1.0090863200403835,MBOXBUSD
116,0.5110318698462226,KLAYUSDT
117,0.015193370165745715,GLMBUSD
118,4.0,DARUSDT
119,0.31927212572373853,CLVUSDT
120,0.14636097040789123,IMXUSDT
121,0.3469119579500659,CKBUSDT
122,1.9779512489527535,AUTOBUSD
123,1.3073064704898847,FORUSDT
124,1.7485112230874944,ENSUSDT
125,1.6968716289104637,WAXPBUSD
126,0.008999999999999985,1INCHDOWNUSDT
127,0.20117187499999992,CHRBUSD
128,0.8763326226012793,PERPUSDT
129,0.1258728061898471,RLCBUSD
130,2.620689655172414,QIBUSD
131,0.20422169675298454,TROYBUSD
132,4.0,LITUSDT
133,0.831955922865014,JASMYBUSD
134,0.000508517670989152,POLYBUSD
135,4.0,GALUSDT
136,0.6150330116810566,EPXUSDT
137,0.4349977507872245,FIROUSDT
138,3.814666666666667,DYDXUSDT
139,0.16261398176291797,MULTIBUSD
140,4.0,TKOBUSD
141,0.07782793051566142,RENBUSD
142,0.5684210526315789,GTCBUSD
143,0.015498476273399927,OGNBUSD
144,0.4722536806342016,AMBBUSD
145,1.535211267605634,MOBUSDT
146,2.5770440251572326,BIFIBUSD
147,0.5537325676784252,TRUBUSD
