,K,NDTR,ret
212,15,3050,-4.3716539942348624e-05
213,15,3100,-4.7067721247525125e-05
214,15,3150,-4.579339419295525e-05
215,15,3200,7.388685737772243e-06
216,15,3250,3.1932140674451395e-05
217,15,3300,1.848594938595645e-05
218,15,3350,4.17096494693959e-05
219,15,3400,3.920452442417886e-05
220,15,3450,3.2880049466262694e-05
221,15,3500,3.264253031676962e-05
222,15,3550,4.3542421172584226e-05
223,15,3600,4.0220361924115695e-05
224,15,3650,4.111739053678482e-05
225,15,3700,9.973895191736598e-05
226,15,3750,9.415142957421772e-05
227,15,3800,0.0001042239798524639
228,15,3850,0.00014071693185826128
229,15,3900,0.00013297414764171608
230,15,3950,0.00014039129489089173
231,20,150,-2.5057972568590015e-05
232,20,200,-1.490144959503502e-05
233,20,250,-1.5708688903244383e-05
234,20,300,6.5065326285667325e-06
235,20,350,9.58746468315905e-06
236,20,400,-8.630359895026726e-06
237,20,450,2.034772043852761e-06
238,20,500,1.3243443389449744e-05
239,20,550,2.1907868227589005e-05
240,20,600,1.6077514895899572e-06
241,20,650,2.929289811077953e-06
242,20,700,-1.0163419072367396e-06
243,20,750,1.9476383142604386e-05
244,20,800,3.7639741226700207e-06
245,20,850,1.4776936520005172e-06
246,20,900,-2.0816915917338757e-05
247,20,950,-1.9095353378259593e-05
248,20,1000,0.0
249,20,1050,0.0
250,20,1100,0.0
251,20,1150,-2.226176193267667e-05
252,20,1200,-3.643910088901217e-05
253,20,1250,-3.968706941714278e-05
254,20,1300,-9.746622001782338e-06
255,20,1350,-2.3835906300747833e-05
256,20,1400,-1.1788609945464748e-05
257,20,1450,-5.405969918253677e-06
258,20,1500,0.0
259,20,1550,0.0
260,20,1600,0.0
261,20,1650,0.0
262,20,1700,0.0
263,20,1750,0.0
264,20,1800,0.0
265,20,1850,0.0
266,20,1900,0.0
267,20,1950,0.0
268,20,2000,0.0019395502626800359
269,20,2050,0.001539915825033001
270,20,2100,0.0012767774012130873
271,20,2150,0.00029683923039605555
272,20,2200,0.0010969525445947473
273,20,2250,0.0001755134133224159
274,20,2300,2.2115131070542072e-05
275,20,2350,3.0460660004329147e-05
276,20,2400,3.834532883973152e-05
277,20,2450,2.5519524071610782e-05
278,20,2500,0.00010079689044124696
279,20,2550,0.00025438784220606185
280,20,2600,0.00020960034756443302
281,20,2650,-6.644847457152613e-05
282,20,2700,-8.428070110792606e-05
283,20,2750,-7.194022680822188e-05
284,20,2800,-6.90605213646106e-05
285,20,2850,-7.661691869897978e-05
286,20,2900,-6.420071342441431e-05
287,20,2950,-6.501504628367566e-05
288,20,3000,-6.972864312135696e-05
289,20,3050,-3.7307308665362184e-05
290,20,3100,-4.507367107721521e-05
291,20,3150,-4.698465600169306e-05
292,20,3200,1.685623041802272e-05
293,20,3250,3.149660770178909e-05
294,20,3300,2.219430289044168e-05
295,20,3350,3.6357863209689123e-05
296,20,3400,4.105331518567708e-05
297,20,3450,3.30766665527825e-05
298,20,3500,3.600937524794075e-05
299,20,3550,4.4457675764535026e-05
300,20,3600,4.0835227232886246e-05
301,20,3650,4.0071846179691776e-05
302,20,3700,0.00011322030344874297
303,20,3750,8.980651085570546e-05
304,20,3800,0.00011127323120836546
305,20,3850,0.00013539568686565811
306,20,3900,0.00013632824721357317
307,20,3950,0.00014317439864926397
308,25,150,-1.6395759690972904e-05
309,25,200,-1.3529130869019523e-05
310,25,250,-1.915458531132691e-05
311,25,300,1.055259227427113e-05
312,25,350,-5.8322348630743345e-06
313,25,400,-6.893649873466125e-06
314,25,450,-4.544407886770004e-06
315,25,500,1.2731258786354637e-05
316,25,550,1.958544510138043e-05
317,25,600,1.0018510454965851e-05
318,25,650,3.6629205195821968e-06
319,25,700,-2.600061807062517e-07
320,25,750,1.3077549774898985e-05
321,25,800,8.572170596885036e-06
322,25,850,-3.010778974498186e-06
323,25,900,-2.1397007170356758e-05
324,25,950,-1.2232414635145822e-05
325,25,1000,-2.725290983530645e-05
326,25,1050,0.0
327,25,1100,0.0
328,25,1150,-1.5506133532242596e-05
329,25,1200,-3.3596317974507606e-05
330,25,1250,-3.887286938130448e-05
331,25,1300,-1.5986830463090916e-05
332,25,1350,-2.3432182355097977e-05
333,25,1400,-9.863112139868296e-06
334,25,1450,-5.142047392616624e-06
335,25,1500,-1.4334385421652144e-05
336,25,1550,0.0
337,25,1600,0.0
338,25,1650,0.0
339,25,1700,0.0
340,25,1750,0.0
341,25,1800,0.0
342,25,1850,0.0
343,25,1900,0.0
344,25,1950,0.0
345,25,2000,0.0
346,25,2050,0.0
347,25,2100,0.0
348,25,2150,0.0
349,25,2200,0.0
350,25,2250,0.0
351,25,2300,0.0
352,25,2350,0.0
353,25,2400,0.0
354,25,2450,0.0
355,25,2500,0.0
356,25,2550,0.0
357,25,2600,0.0
358,25,2650,0.0
359,25,2700,0.002079903528548118
360,25,2750,0.0
361,25,2800,0.002079903528548118
362,25,2850,0.0
363,25,2900,0.0
364,25,2950,0.0
365,25,3000,0.002079903528548118
366,25,3050,0.0
367,25,3100,0.002079903528548118
368,25,3150,0.002079903528548118
369,25,3200,0.0
370,25,3250,0.0
371,25,3300,0.0
372,25,3350,0.0
373,25,3400,0.0
374,25,3450,0.0
375,25,3500,0.0
376,25,3550,0.0
377,25,3600,0.0
378,25,3650,0.0
379,25,3700,0.0
380,25,3750,0.0
381,25,3800,0.0
382,25,3850,0.0
383,25,3900,0.0
384,25,3950,0.0
385,30,150,-1.1739236975955844e-05
386,30,200,-1.5770965626452462e-05
387,30,250,-1.3945473718664362e-05
388,30,300,9.067990317065469e-06
389,30,350,-3.1554903320986617e-06
390,30,400,-1.259177608424041e-05
391,30,450,-4.773014156219827e-06
392,30,500,1.1069819687432457e-05
393,30,550,9.87652929422738e-06
394,30,600,3.6884082262748818e-06
395,30,650,-1.6299161539222773e-06
396,30,700,-2.5172700755168705e-06
397,30,750,1.4775256439461115e-05
398,30,800,1.4938954465109652e-05
399,30,850,-7.807638305978384e-06
400,30,900,-1.9741782580410193e-05
401,30,950,-1.6470178210556307e-05
402,30,1000,-2.383111773442706e-05
403,30,1050,0.0
404,30,1100,0.0
405,30,1150,0.0
406,30,1200,0.0
407,30,1250,0.0
408,30,1300,0.0
409,30,1350,0.0
410,30,1400,0.0
411,30,1450,-6.729106404702805e-06
412,30,1500,-9.2742915926419e-06
413,30,1550,0.0
414,30,1600,0.0
415,30,1650,0.0
416,30,1700,0.0
417,30,1750,0.0
418,30,1800,0.0
419,30,1850,0.0
420,30,1900,0.0
421,30,1950,0.0
422,30,2000,0.0
423,30,2050,0.0
424,30,2100,0.0
425,30,2150,0.0
426,30,2200,0.0
427,30,2250,0.0
428,30,2300,0.0
429,30,2350,0.0
430,30,2400,0.0
431,30,2450,0.0
432,30,2500,0.0
433,30,2550,0.0
434,30,2600,0.0
435,30,2650,-1.2021885092151072e-05
436,30,2700,-6.096040215792914e-06
437,30,2750,2.344484680437841e-05
438,30,2800,-0.0013813841196375375
439,30,2850,0.00022336128803902215
440,30,2900,0.00019992334142384473
441,30,2950,-0.00021978658635059354
442,30,3000,-0.00047805672059076455
443,30,3050,0.002079903528548118
444,30,3100,0.0
445,30,3150,0.00047652146167046676
446,30,3200,0.0
447,30,3250,0.0
448,30,3300,0.0
449,30,3350,0.0
450,30,3400,0.0
451,30,3450,0.0
452,30,3500,0.0
453,30,3550,0.0
454,30,3600,0.0
455,30,3650,0.0
456,30,3700,0.0
457,30,3750,0.0
458,30,3800,0.0
459,30,3850,0.0
460,30,3900,0.0
461,30,3950,0.0
462,35,150,0.0
463,35,200,-1.690695404615614e-05
464,35,250,-1.2210979228714005e-05
465,35,300,3.7339476183874745e-06
466,35,350,-1.0268785436539773e-05
467,35,400,-3.950067962181047e-06
468,35,450,9.846685277038437e-06
469,35,500,1.3382428906283245e-05
470,35,550,4.342131554844203e-06
471,35,600,3.377240832865191e-06
472,35,650,-1.27618307520967e-06
473,35,700,-1.1583475092140694e-06
474,35,750,1.3040888851465353e-05
475,35,800,1.2045222100477603e-05
476,35,850,-9.597835900113377e-06
477,35,900,-1.6454613700037483e-05
478,35,950,-1.544966798611893e-05
479,35,1000,-2.5051997738022238e-05
480,35,1050,0.0
481,35,1100,0.0
482,35,1150,0.0
483,35,1200,0.0
484,35,1250,0.0
485,35,1300,0.0
486,35,1350,0.0
487,35,1400,0.0
488,35,1450,0.0
489,35,1500,-1.5148303544327616e-05
490,35,1550,0.0
491,35,1600,0.0
492,35,1650,0.0
493,35,1700,0.0
494,35,1750,0.0
495,35,1800,0.0
496,35,1850,0.0
497,35,1900,0.0
498,35,1950,0.0
499,35,2000,0.0
500,35,2050,0.0
501,35,2100,0.0
502,35,2150,0.0
503,35,2200,0.0
504,35,2250,0.0
505,35,2300,0.0
506,35,2350,0.0
507,35,2400,0.0
508,35,2450,0.0
509,35,2500,0.0
510,35,2550,0.0
511,35,2600,0.0
512,35,2650,0.0
513,35,2700,0.0
514,35,2750,0.0
515,35,2800,0.0
516,35,2850,0.0
517,35,2900,0.0
518,35,2950,0.0
519,35,3000,0.0
520,35,3050,0.0
521,35,3100,0.0
522,35,3150,0.0
523,35,3200,0.0
524,35,3250,0.0
525,35,3300,0.0
526,35,3350,0.0
527,35,3400,0.0
528,35,3450,0.0
529,35,3500,0.0
530,35,3550,0.0
531,35,3600,0.0
532,35,3650,0.0
533,35,3700,0.0
534,35,3750,0.0
535,35,3800,0.0
536,35,3850,0.0
537,35,3900,0.0
538,35,3950,0.0
539,40,150,-6.75228175824916e-06
540,40,200,-1.1048793118793134e-05
541,40,250,-3.2502951822809012e-06
542,40,300,1.1102750628991501e-05
543,40,350,-7.900248776041738e-06
544,40,400,3.232921026117805e-06
545,40,450,2.5261199565914325e-06
546,40,500,1.5243185703196394e-05
547,40,550,7.050350432327779e-06
548,40,600,-6.067640591307506e-07
549,40,650,-2.3970251852631823e-06
550,40,700,8.619266880604248e-07
551,40,750,1.1884259104068569e-05
552,40,800,5.996650732666023e-06
553,40,850,-1.769489228580073e-05
554,40,900,-1.6875336627260626e-05
555,40,950,-1.3717714512909211e-05
556,40,1000,-2.9978076692625127e-05
557,40,1050,0.0
558,40,1100,0.0
559,40,1150,0.0
560,40,1200,0.0
561,40,1250,0.0
562,40,1300,0.0
563,40,1350,0.0
564,40,1400,0.0
565,40,1450,0.0
566,40,1500,0.0
567,40,1550,0.0
568,40,1600,0.0
569,40,1650,0.0
570,40,1700,0.0
571,40,1750,0.0
572,40,1800,0.0
573,40,1850,0.0
574,40,1900,0.0
575,40,1950,0.0
576,40,2000,0.0
577,40,2050,0.0
578,40,2100,0.0
579,40,2150,0.0
580,40,2200,0.0
581,40,2250,0.0
582,40,2300,0.0
583,40,2350,0.0
584,40,2400,0.0
585,40,2450,0.0
586,40,2500,0.0
587,40,2550,0.0
588,40,2600,0.0
589,40,2650,0.0
590,40,2700,0.0
591,40,2750,0.0
592,40,2800,0.0
593,40,2850,0.0
594,40,2900,0.0
595,40,2950,0.0
596,40,3000,0.0
597,40,3050,0.0
598,40,3100,0.0
599,40,3150,0.0
600,40,3200,0.0
601,40,3250,0.0
602,40,3300,0.0
603,40,3350,0.0
604,40,3400,0.0
605,40,3450,0.0
606,40,3500,0.0
607,40,3550,0.0
608,40,3600,0.0
609,40,3650,0.0
610,40,3700,0.0
611,40,3750,0.0
612,40,3800,0.0
613,40,3850,0.0
614,40,3900,0.0
615,40,3950,0.0
616,45,150,-7.900421720694945e-06
617,45,200,-9.353745683357369e-06
618,45,250,1.5636003400245882e-06
619,45,300,1.9097739947750344e-05
620,45,350,-9.216588249146852e-06
621,45,400,1.4956513539615441e-06
622,45,450,1.109934261514608e-06
623,45,500,2.6078230008900676e-05
624,45,550,5.441573363948096e-06
625,45,600,-4.6719343218161954e-06
626,45,650,6.297196511574101e-07
627,45,700,3.622705656887053e-06
628,45,750,8.067031143112217e-06
629,45,800,8.193301100084428e-06
630,45,850,-2.2591889668693863e-05
631,45,900,-2.079635295242119e-05
632,45,950,-1.17310509584077e-05
633,45,1000,-2.8262296898622374e-05
634,45,1050,0.0
635,45,1100,0.0
636,45,1150,0.0
637,45,1200,0.0
638,45,1250,0.0
639,45,1300,0.0
640,45,1350,0.0
641,45,1400,0.0
642,45,1450,0.0
643,45,1500,0.0
644,45,1550,0.0
645,45,1600,0.0
646,45,1650,0.0
647,45,1700,0.0
648,45,1750,0.0
649,45,1800,0.0
650,45,1850,0.0
651,45,1900,0.0
652,45,1950,0.0
653,45,2000,0.0
654,45,2050,0.0
655,45,2100,0.0
656,45,2150,0.0
657,45,2200,0.0
658,45,2250,0.0
659,45,2300,0.0
660,45,2350,0.0
661,45,2400,0.0
662,45,2450,0.0
663,45,2500,0.0
664,45,2550,0.0
665,45,2600,0.0
666,45,2650,0.0
667,45,2700,0.0
668,45,2750,0.0
669,45,2800,0.0
670,45,2850,0.0
671,45,2900,0.0
672,45,2950,0.0
673,45,3000,0.0
674,45,3050,0.0
675,45,3100,0.0
676,45,3150,0.0
677,45,3200,0.0
678,45,3250,0.0
679,45,3300,0.0
680,45,3350,0.0
681,45,3400,0.0
682,45,3450,0.0
683,45,3500,0.0
684,45,3550,0.0
685,45,3600,0.0
686,45,3650,0.0
687,45,3700,0.0
688,45,3750,0.0
689,45,3800,0.0
