,K,NDTR,hit_rate
0,5,150,0.4942857142857143
1,5,300,0.5042857142857143
2,5,450,0.4942857142857143
3,5,600,0.49
4,5,750,0.4928571428571429
5,5,900,0.48428571428571426
6,5,1050,0.49857142857142855
7,5,1200,0.5
8,5,1350,0.4942857142857143
9,5,1500,0.4857142857142857
10,5,1650,0.5128571428571429
11,5,1800,0.5142857142857142
12,5,1950,0.5142857142857142
13,5,2100,0.5071428571428571
14,5,2250,0.4957142857142857
15,5,2400,0.4857142857142857
16,5,2550,0.49
17,5,2700,0.5042857142857143
18,5,2850,0.5142857142857142
19,5,3000,0.51
20,5,3150,0.5142857142857142
21,5,3300,0.5028571428571429
22,5,3450,0.5057142857142857
23,5,3600,0.49
24,5,3750,0.48714285714285716
25,5,3900,0.47285714285714286
26,5,4050,0.4585714285714286
27,5,4200,0.45
28,5,4350,0.4585714285714286
29,10,150,0.4957142857142857
30,10,300,0.5042857142857143
31,10,450,0.49142857142857144
32,10,600,0.5042857142857143
33,10,750,0.49714285714285716
34,10,900,0.48714285714285716
35,10,1050,0.49714285714285716
36,10,1200,0.5
37,10,1350,0.5057142857142857
38,10,1500,0.5128571428571429
39,10,1650,0.5142857142857142
40,10,1800,0.5157142857142857
41,10,1950,0.5128571428571429
42,10,2100,0.5114285714285715
43,10,2250,0.49714285714285716
44,10,2400,0.4828571428571429
45,10,2550,0.4942857142857143
46,10,2700,0.5028571428571429
47,10,2850,0.5128571428571429
48,10,3000,0.5128571428571429
49,10,3150,0.5171428571428571
50,10,3300,0.5014285714285714
51,10,3450,0.5057142857142857
52,10,3600,0.49
53,10,3750,0.48857142857142855
54,10,3900,0.4714285714285714
55,10,4050,0.4585714285714286
56,10,4200,0.4514285714285714
57,10,4350,0.4585714285714286
58,15,150,0.49857142857142855
59,15,300,0.5071428571428571
60,15,450,0.49
61,15,600,0.5028571428571429
62,15,750,0.5057142857142857
63,15,900,0.5142857142857142
64,15,1050,0.4957142857142857
65,15,1200,0.49857142857142855
66,15,1350,0.5057142857142857
67,15,1500,0.5114285714285715
68,15,1650,0.5171428571428571
69,15,1800,0.5142857142857142
70,15,1950,0.5142857142857142
71,15,2100,0.51
72,15,2250,0.4957142857142857
73,15,2400,0.48142857142857143
74,15,2550,0.4928571428571429
75,15,2700,0.5014285714285714
76,15,2850,0.5171428571428571
77,15,3000,0.5114285714285715
78,15,3150,0.5142857142857142
79,15,3300,0.5028571428571429
80,15,3450,0.5071428571428571
81,15,3600,0.49142857142857144
82,15,3750,0.4857142857142857
83,15,3900,0.4685714285714286
84,15,4050,0.45714285714285713
85,15,4200,0.45
86,15,4350,0.46
87,20,150,0.5
88,20,300,0.5028571428571429
89,20,450,0.48857142857142855
90,20,600,0.5057142857142857
91,20,750,0.5042857142857143
92,20,900,0.5128571428571429
93,20,1050,0.4942857142857143
94,20,1200,0.5
95,20,1350,0.5042857142857143
96,20,1500,0.51
97,20,1650,0.5171428571428571
98,20,1800,0.5128571428571429
99,20,1950,0.51
100,20,2100,0.5057142857142857
101,20,2250,0.4957142857142857
102,20,2400,0.4828571428571429
103,20,2550,0.49
104,20,2700,0.5
105,20,2850,0.5157142857142857
106,20,3000,0.5114285714285715
107,20,3150,0.5128571428571429
108,20,3300,0.5028571428571429
109,20,3450,0.5057142857142857
110,20,3600,0.48714285714285716
111,20,3750,0.4828571428571429
112,20,3900,0.47
113,20,4050,0.45571428571428574
114,20,4200,0.45
115,20,4350,0.45714285714285713
116,25,150,0.49714285714285716
117,25,300,0.5
118,25,450,0.4928571428571429
119,25,600,0.5042857142857143
120,25,750,0.4957142857142857
121,25,900,0.5014285714285714
122,25,1050,0.4942857142857143
123,25,1200,0.5014285714285714
124,25,1350,0.5028571428571429
125,25,1500,0.5142857142857142
126,25,1650,0.5157142857142857
127,25,1800,0.5142857142857142
128,25,1950,0.5142857142857142
129,25,2100,0.5014285714285714
130,25,2250,0.4942857142857143
131,25,2400,0.48142857142857143
132,25,2550,0.48857142857142855
133,25,2700,0.5028571428571429
134,25,2850,0.5157142857142857
135,25,3000,0.5057142857142857
136,25,3150,0.5142857142857142
137,25,3300,0.5
138,25,3450,0.5057142857142857
139,25,3600,0.48857142857142855
140,25,3750,0.48142857142857143
141,25,3900,0.46714285714285714
142,25,4050,0.45
143,25,4200,0.45285714285714285
144,25,4350,0.46
145,30,150,0.5
146,30,300,0.5028571428571429
147,30,450,0.4928571428571429
148,30,600,0.5028571428571429
149,30,750,0.4942857142857143
150,30,900,0.4928571428571429
151,30,1050,0.4928571428571429
152,30,1200,0.5028571428571429
153,30,1350,0.5028571428571429
154,30,1500,0.48714285714285716
155,30,1650,0.5171428571428571
156,30,1800,0.5171428571428571
157,30,1950,0.5142857142857142
158,30,2100,0.5014285714285714
159,30,2250,0.4942857142857143
160,30,2400,0.48142857142857143
161,30,2550,0.48857142857142855
162,30,2700,0.5057142857142857
163,30,2850,0.5157142857142857
164,30,3000,0.5114285714285715
165,30,3150,0.5128571428571429
166,30,3300,0.49857142857142855
167,30,3450,0.5057142857142857
168,30,3600,0.4942857142857143
169,30,3750,0.48428571428571426
170,30,3900,0.4642857142857143
171,30,4050,0.45
172,30,4200,0.44857142857142857
173,30,4350,0.46285714285714286
174,35,150,0.5028571428571429
175,35,300,0.4957142857142857
176,35,450,0.5057142857142857
177,35,600,0.5042857142857143
178,35,750,0.5071428571428571
179,35,900,0.49
180,35,1050,0.5057142857142857
181,35,1200,0.5042857142857143
182,35,1350,0.5028571428571429
183,35,1500,0.5085714285714286
184,35,1650,0.5171428571428571
185,35,1800,0.5185714285714286
186,35,1950,0.5128571428571429
187,35,2100,0.5
188,35,2250,0.4928571428571429
189,35,2400,0.4828571428571429
190,35,2550,0.49
191,35,2700,0.5042857142857143
192,35,2850,0.5171428571428571
193,35,3000,0.5128571428571429
194,35,3150,0.5128571428571429
195,35,3300,0.5014285714285714
196,35,3450,0.5042857142857143
197,35,3600,0.4942857142857143
198,35,3750,0.4857142857142857
199,35,3900,0.4642857142857143
200,35,4050,0.45285714285714285
201,35,4200,0.4514285714285714
202,35,4350,0.4642857142857143
203,40,150,0.5042857142857143
204,40,300,0.49857142857142855
205,40,450,0.5057142857142857
206,40,600,0.5028571428571429
207,40,750,0.5042857142857143
208,40,900,0.49
209,40,1050,0.5085714285714286
210,40,1200,0.5057142857142857
211,40,1350,0.5
212,40,1500,0.5071428571428571
213,40,1650,0.5185714285714286
214,40,1800,0.52
215,40,1950,0.5142857142857142
216,40,2100,0.5014285714285714
217,40,2250,0.4957142857142857
218,40,2400,0.4828571428571429
219,40,2550,0.49142857142857144
220,40,2700,0.5057142857142857
221,40,2850,0.5185714285714286
222,40,3000,0.5142857142857142
223,40,3150,0.5114285714285715
224,40,3300,0.5
225,40,3450,0.5
226,40,3600,0.4942857142857143
227,40,3750,0.48428571428571426
228,40,3900,0.4657142857142857
229,40,4050,0.4542857142857143
230,40,4200,0.45285714285714285
231,40,4350,0.4642857142857143
232,45,150,0.5085714285714286
233,45,300,0.5014285714285714
234,45,450,0.5085714285714286
235,45,600,0.5014285714285714
236,45,750,0.5028571428571429
237,45,900,0.49142857142857144
238,45,1050,0.5057142857142857
239,45,1200,0.4942857142857143
240,45,1350,0.5014285714285714
241,45,1500,0.5057142857142857
242,45,1650,0.52
243,45,1800,0.5214285714285715
244,45,1950,0.5142857142857142
245,45,2100,0.5028571428571429
246,45,2250,0.4928571428571429
247,45,2400,0.4828571428571429
248,45,2550,0.49142857142857144
249,45,2700,0.5042857142857143
250,45,2850,0.5142857142857142
251,45,3000,0.5142857142857142
252,45,3150,0.5114285714285715
253,45,3300,0.5
254,45,3450,0.5028571428571429
255,45,3600,0.4942857142857143
256,45,3750,0.4828571428571429
257,45,3900,0.4642857142857143
258,45,4050,0.45571428571428574
259,45,4200,0.45
260,45,4350,0.4657142857142857
261,50,150,0.5071428571428571
262,50,300,0.5028571428571429
