,K,NDTR,hit_rate
0,5,150,0.49714285714285716
1,5,200,0.49
2,5,250,0.49
3,5,300,0.49857142857142855
4,5,350,0.49714285714285716
5,5,400,0.49142857142857144
6,5,450,0.4928571428571429
7,5,500,0.49
8,5,550,0.4942857142857143
9,5,600,0.49
10,5,650,0.49714285714285716
11,5,700,0.48857142857142855
12,5,750,0.4957142857142857
13,5,800,0.4957142857142857
14,5,850,0.48857142857142855
15,5,900,0.4857142857142857
16,5,950,0.5085714285714286
17,5,1000,0.5
18,5,1050,0.4942857142857143
19,5,1100,0.5057142857142857
20,5,1150,0.4957142857142857
21,5,1200,0.5014285714285714
22,5,1250,0.5057142857142857
23,5,1300,0.4957142857142857
24,5,1350,0.5071428571428571
25,5,1400,0.49857142857142855
26,5,1450,0.5042857142857143
27,5,1500,0.5128571428571429
28,5,1550,0.4942857142857143
29,5,1600,0.5
30,5,1650,0.4857142857142857
31,5,1700,0.48
32,5,1750,0.48142857142857143
33,5,1800,0.4828571428571429
34,5,1850,0.4785714285714286
35,5,1900,0.47714285714285715
36,5,1950,0.4857142857142857
37,5,2000,0.4857142857142857
38,5,2050,0.4942857142857143
39,5,2100,0.49
40,5,2150,0.49714285714285716
41,5,2200,0.5071428571428571
42,5,2250,0.5071428571428571
43,5,2300,0.5071428571428571
44,5,2350,0.5185714285714286
45,5,2400,0.5185714285714286
46,5,2450,0.5171428571428571
47,5,2500,0.5171428571428571
48,5,2550,0.5114285714285715
49,5,2600,0.5071428571428571
50,5,2650,0.5
51,5,2700,0.4957142857142857
52,5,2750,0.4942857142857143
53,5,2800,0.4942857142857143
54,5,2850,0.48857142857142855
55,5,2900,0.48428571428571426
56,5,2950,0.4828571428571429
57,5,3000,0.49
58,5,3050,0.48428571428571426
59,5,3100,0.48714285714285716
60,5,3150,0.49
61,5,3200,0.48857142857142855
62,5,3250,0.49857142857142855
63,5,3300,0.49857142857142855
64,5,3350,0.5
65,5,3400,0.4957142857142857
66,5,3450,0.4957142857142857
67,5,3500,0.49714285714285716
68,5,3550,0.5057142857142857
69,5,3600,0.51
70,5,3650,0.5057142857142857
71,5,3700,0.51
72,5,3750,0.5185714285714286
73,5,3800,0.5171428571428571
74,5,3850,0.5214285714285715
75,5,3900,0.53
76,5,3950,0.5357142857142857
77,10,150,0.4957142857142857
78,10,200,0.49142857142857144
79,10,250,0.4928571428571429
80,10,300,0.5014285714285714
81,10,350,0.4957142857142857
82,10,400,0.49142857142857144
83,10,450,0.4928571428571429
84,10,500,0.48857142857142855
85,10,550,0.4928571428571429
86,10,600,0.49
87,10,650,0.49714285714285716
88,10,700,0.49142857142857144
89,10,750,0.4942857142857143
90,10,800,0.4957142857142857
91,10,850,0.48857142857142855
92,10,900,0.48428571428571426
93,10,950,0.5085714285714286
94,10,1000,0.5028571428571429
95,10,1050,0.5042857142857143
96,10,1100,0.5071428571428571
97,10,1150,0.5028571428571429
98,10,1200,0.49857142857142855
99,10,1250,0.5028571428571429
100,10,1300,0.4928571428571429
101,10,1350,0.5042857142857143
102,10,1400,0.5028571428571429
103,10,1450,0.5042857142857143
104,10,1500,0.5128571428571429
105,10,1550,0.5042857142857143
106,10,1600,0.5014285714285714
107,10,1650,0.5142857142857142
108,10,1700,0.5171428571428571
109,10,1750,0.5157142857142857
110,10,1800,0.5157142857142857
111,10,1850,0.5185714285714286
112,10,1900,0.5257142857142857
113,10,1950,0.48428571428571426
114,10,2000,0.4828571428571429
115,10,2050,0.48857142857142855
116,10,2100,0.49
117,10,2150,0.4957142857142857
118,10,2200,0.5042857142857143
119,10,2250,0.5085714285714286
120,10,2300,0.51
121,10,2350,0.5157142857142857
122,10,2400,0.5157142857142857
123,10,2450,0.5157142857142857
124,10,2500,0.5142857142857142
125,10,2550,0.5071428571428571
126,10,2600,0.5071428571428571
127,10,2650,0.5
128,10,2700,0.4942857142857143
129,10,2750,0.49857142857142855
130,10,2800,0.49857142857142855
131,10,2850,0.48857142857142855
132,10,2900,0.48714285714285716
133,10,2950,0.4828571428571429
134,10,3000,0.49
135,10,3050,0.48857142857142855
136,10,3100,0.48714285714285716
137,10,3150,0.48714285714285716
138,10,3200,0.49142857142857144
139,10,3250,0.49857142857142855
140,10,3300,0.5
141,10,3350,0.49857142857142855
142,10,3400,0.4957142857142857
143,10,3450,0.4942857142857143
144,10,3500,0.4928571428571429
145,10,3550,0.5057142857142857
146,10,3600,0.51
147,10,3650,0.5057142857142857
148,10,3700,0.51
149,10,3750,0.5128571428571429
150,10,3800,0.52
151,10,3850,0.5257142857142857
152,10,3900,0.53
153,10,3950,0.5357142857142857
154,15,150,0.4942857142857143
155,15,200,0.49142857142857144
156,15,250,0.49
157,15,300,0.5042857142857143
158,15,350,0.4957142857142857
159,15,400,0.49
160,15,450,0.4942857142857143
161,15,500,0.48714285714285716
162,15,550,0.49142857142857144
163,15,600,0.49
164,15,650,0.4957142857142857
165,15,700,0.49
166,15,750,0.4928571428571429
167,15,800,0.4942857142857143
168,15,850,0.48857142857142855
169,15,900,0.48428571428571426
170,15,950,0.4928571428571429
171,15,1000,0.5057142857142857
172,15,1050,0.5014285714285714
173,15,1100,0.5071428571428571
174,15,1150,0.49714285714285716
175,15,1200,0.5
176,15,1250,0.49857142857142855
177,15,1300,0.5057142857142857
178,15,1350,0.4942857142857143
179,15,1400,0.49714285714285716
180,15,1450,0.49857142857142855
181,15,1500,0.5142857142857142
182,15,1550,0.5028571428571429
183,15,1600,0.5014285714285714
184,15,1650,0.5128571428571429
185,15,1700,0.5128571428571429
186,15,1750,0.5157142857142857
187,15,1800,0.5142857142857142
188,15,1850,0.52
189,15,1900,0.5271428571428571
190,15,1950,0.5142857142857142
191,15,2000,0.4857142857142857
192,15,2050,0.49
193,15,2100,0.4928571428571429
194,15,2150,0.49857142857142855
195,15,2200,0.5042857142857143
196,15,2250,0.5042857142857143
197,15,2300,0.5114285714285715
198,15,2350,0.5171428571428571
199,15,2400,0.5142857142857142
200,15,2450,0.5142857142857142
201,15,2500,0.51
202,15,2550,0.51
203,15,2600,0.5085714285714286
204,15,2650,0.49714285714285716
205,15,2700,0.4942857142857143
206,15,2750,0.5
207,15,2800,0.49714285714285716
208,15,2850,0.48428571428571426
209,15,2900,0.48714285714285716
210,15,2950,0.4857142857142857
211,15,3000,0.48857142857142855
212,15,3050,0.48714285714285716
213,15,3100,0.48428571428571426
214,15,3150,0.48428571428571426
215,15,3200,0.49714285714285716
216,15,3250,0.49857142857142855
217,15,3300,0.49714285714285716
218,15,3350,0.49857142857142855
219,15,3400,0.4942857142857143
220,15,3450,0.4942857142857143
221,15,3500,0.4957142857142857
222,15,3550,0.5057142857142857
223,15,3600,0.51
224,15,3650,0.5057142857142857
225,15,3700,0.5085714285714286
226,15,3750,0.5128571428571429
227,15,3800,0.52
228,15,3850,0.5314285714285715
229,15,3900,0.5271428571428571
230,15,3950,0.5328571428571428
231,20,150,0.4957142857142857
232,20,200,0.49
233,20,250,0.49
234,20,300,0.5042857142857143
235,20,350,0.4928571428571429
236,20,400,0.4928571428571429
237,20,450,0.49142857142857144
238,20,500,0.48857142857142855
239,20,550,0.4942857142857143
240,20,600,0.4942857142857143
241,20,650,0.4957142857142857
242,20,700,0.4928571428571429
243,20,750,0.49714285714285716
244,20,800,0.49
245,20,850,0.48714285714285716
246,20,900,0.48714285714285716
247,20,950,0.4942857142857143
248,20,1000,0.5085714285714286
249,20,1050,0.5028571428571429
250,20,1100,0.5085714285714286
251,20,1150,0.49857142857142855
252,20,1200,0.5
253,20,1250,0.4942857142857143
254,20,1300,0.5014285714285714
255,20,1350,0.4942857142857143
256,20,1400,0.49714285714285716
257,20,1450,0.49714285714285716
258,20,1500,0.5128571428571429
259,20,1550,0.5028571428571429
260,20,1600,0.5042857142857143
261,20,1650,0.5142857142857142
262,20,1700,0.5128571428571429
263,20,1750,0.5142857142857142
264,20,1800,0.5157142857142857
265,20,1850,0.52
266,20,1900,0.5285714285714286
267,20,1950,0.5128571428571429
268,20,2000,0.5157142857142857
269,20,2050,0.5128571428571429
270,20,2100,0.5185714285714286
271,20,2150,0.6
272,20,2200,0.5142857142857142
273,20,2250,0.62
274,20,2300,0.5242857142857142
275,20,2350,0.5271428571428571
276,20,2400,0.5271428571428571
277,20,2450,0.5314285714285715
278,20,2500,0.5757142857142857
279,20,2550,0.5742857142857143
280,20,2600,0.6085714285714285
281,20,2650,0.5
282,20,2700,0.4957142857142857
283,20,2750,0.49714285714285716
284,20,2800,0.49857142857142855
285,20,2850,0.4857142857142857
286,20,2900,0.48857142857142855
287,20,2950,0.48857142857142855
288,20,3000,0.4857142857142857
289,20,3050,0.49
290,20,3100,0.4857142857142857
291,20,3150,0.48142857142857143
292,20,3200,0.49857142857142855
293,20,3250,0.49857142857142855
294,20,3300,0.49857142857142855
295,20,3350,0.49714285714285716
296,20,3400,0.4942857142857143
297,20,3450,0.4942857142857143
298,20,3500,0.49714285714285716
299,20,3550,0.5057142857142857
300,20,3600,0.51
301,20,3650,0.5057142857142857
302,20,3700,0.5128571428571429
303,20,3750,0.5114285714285715
304,20,3800,0.52
305,20,3850,0.5314285714285715
306,20,3900,0.5285714285714286
307,20,3950,0.5357142857142857
308,25,150,0.49857142857142855
309,25,200,0.49142857142857144
310,25,250,0.48857142857142855
311,25,300,0.5071428571428571
312,25,350,0.48857142857142855
313,25,400,0.49142857142857144
314,25,450,0.49
315,25,500,0.49
316,25,550,0.4928571428571429
317,25,600,0.4957142857142857
318,25,650,0.4942857142857143
319,25,700,0.49142857142857144
320,25,750,0.4928571428571429
321,25,800,0.48857142857142855
322,25,850,0.48714285714285716
323,25,900,0.4857142857142857
324,25,950,0.49857142857142855
325,25,1000,0.49142857142857144
326,25,1050,0.5042857142857143
327,25,1100,0.5085714285714286
328,25,1150,0.49857142857142855
329,25,1200,0.5014285714285714
330,25,1250,0.49714285714285716
331,25,1300,0.5014285714285714
332,25,1350,0.4942857142857143
333,25,1400,0.5
334,25,1450,0.49714285714285716
335,25,1500,0.48857142857142855
336,25,1550,0.5057142857142857
337,25,1600,0.5042857142857143
338,25,1650,0.5171428571428571
339,25,1700,0.5185714285714286
340,25,1750,0.5128571428571429
341,25,1800,0.5142857142857142
342,25,1850,0.5228571428571429
343,25,1900,0.5257142857142857
344,25,1950,0.5142857142857142
345,25,2000,0.5185714285714286
346,25,2050,0.5057142857142857
347,25,2100,0.51
348,25,2150,0.49857142857142855
349,25,2200,0.4942857142857143
350,25,2250,0.4957142857142857
351,25,2300,0.48428571428571426
352,25,2350,0.48142857142857143
353,25,2400,0.48142857142857143
354,25,2450,0.48428571428571426
355,25,2500,0.48714285714285716
356,25,2550,0.4928571428571429
357,25,2600,0.49
358,25,2650,0.49857142857142855
359,25,2700,0.5028571428571429
360,25,2750,0.5028571428571429
361,25,2800,0.5042857142857143
362,25,2850,0.5171428571428571
363,25,2900,0.5114285714285715
364,25,2950,0.5085714285714286
365,25,3000,0.5128571428571429
366,25,3050,0.5114285714285715
367,25,3100,0.5142857142857142
368,25,3150,0.5157142857142857
369,25,3200,0.5028571428571429
370,25,3250,0.5028571428571429
371,25,3300,0.5028571428571429
372,25,3350,0.5042857142857143
373,25,3400,0.5028571428571429
374,25,3450,0.5071428571428571
375,25,3500,0.5028571428571429
376,25,3550,0.4928571428571429
377,25,3600,0.49142857142857144
378,25,3650,0.4928571428571429
379,25,3700,0.49
380,25,3750,0.4857142857142857
381,25,3800,0.47714285714285715
382,25,3850,0.4714285714285714
383,25,3900,0.4685714285714286
384,25,3950,0.4614285714285714
385,30,150,0.5
386,30,200,0.48857142857142855
387,30,250,0.49142857142857144
388,30,300,0.5028571428571429
389,30,350,0.49142857142857144
390,30,400,0.48857142857142855
391,30,450,0.48857142857142855
392,30,500,0.49
393,30,550,0.48714285714285716
394,30,600,0.4928571428571429
395,30,650,0.4928571428571429
396,30,700,0.49
397,30,750,0.4942857142857143
398,30,800,0.49
399,30,850,0.48714285714285716
400,30,900,0.48714285714285716
401,30,950,0.49857142857142855
402,30,1000,0.4957142857142857
403,30,1050,0.5057142857142857
404,30,1100,0.5085714285714286
405,30,1150,0.49857142857142855
406,30,1200,0.5
407,30,1250,0.5028571428571429
408,30,1300,0.49714285714285716
409,30,1350,0.5042857142857143
410,30,1400,0.5028571428571429
411,30,1450,0.4714285714285714
412,30,1500,0.49
413,30,1550,0.5042857142857143
