,K,NDTR,ret
0,5,150,-2.9507423313693317e-05
1,5,300,6.088576151057943e-06
2,5,450,5.223350855350228e-06
3,5,600,-1.0806336938882287e-05
4,5,750,5.516337194342964e-06
5,5,900,-2.69059134090522e-05
6,5,1050,-1.8920365206195545e-05
7,5,1200,-3.32963498923272e-05
8,5,1350,-1.514585022105537e-05
9,5,1500,-1.2904788825436639e-05
10,5,1650,0.0
11,5,1800,0.0
12,5,1950,0.0
13,5,2100,0.0
14,5,2250,0.0
15,5,2400,0.0
16,5,2550,0.0
17,5,2700,0.0
18,5,2850,0.0
19,5,3000,0.0
20,5,3150,0.0
21,5,3300,0.0
22,5,3450,0.0
23,5,3600,0.0
24,5,3750,0.0
25,5,3900,0.0
26,5,4050,0.0
27,5,4200,0.0
28,5,4350,0.0
29,10,150,-2.5057972568590015e-05
30,10,300,6.5065326285667325e-06
31,10,450,2.034772043852761e-06
32,10,600,0.0
33,10,750,1.9476383142604386e-05
34,10,900,-2.0816915917338757e-05
35,10,1050,-2.3681336754456e-05
36,10,1200,0.0
37,10,1350,0.0
38,10,1500,0.0
39,10,1650,0.0
40,10,1800,0.0
41,10,1950,0.0
42,10,2100,0.0
43,10,2250,0.0
44,10,2400,0.0
45,10,2550,0.0
46,10,2700,0.0
47,10,2850,0.0
48,10,3000,0.0
49,10,3150,0.0
50,10,3300,0.0
51,10,3450,0.0
52,10,3600,0.0
53,10,3750,0.0
54,10,3900,0.0
55,10,4050,0.0
56,10,4200,0.0
57,10,4350,0.0
58,15,150,-1.6395759690972904e-05
59,15,300,1.055259227427113e-05
60,15,450,-4.544407886770004e-06
61,15,600,0.0
62,15,750,0.0
63,15,900,0.0
64,15,1050,-2.266585016925397e-05
65,15,1200,0.0
66,15,1350,0.0
67,15,1500,0.0
68,15,1650,0.0
69,15,1800,0.0
70,15,1950,0.0
71,15,2100,0.0
72,15,2250,0.0
73,15,2400,0.0
74,15,2550,0.0
75,15,2700,0.0
76,15,2850,0.0
77,15,3000,0.0
78,15,3150,0.0
79,15,3300,0.0
80,15,3450,0.0
81,15,3600,0.0
82,15,3750,0.0
83,15,3900,0.0
84,15,4050,0.0
85,15,4200,0.0
86,15,4350,0.0
